AtliQ,,1 - Apr,2 - Apr,3 - Apr,4 - Apr,5 - Apr,6 - Apr,7 - Apr,8 - Apr,9 - Apr,10 - Apr,11 - Apr,12 - Apr,13 - Apr,14 - Apr,15 - Apr,16 - Apr,17 - Apr,18 - Apr,19 - Apr,20 - Apr,21 - Apr,22 - Apr,23 - Apr,24 - Apr,25 - Apr,26 - Apr,27 - Apr,28 - Apr,29 - Apr,30 - Apr,1 - May,Total Present Days,Present,Work from home ,Paid Leave ,Sick Leave ,Birthday Leave ,Floting festival leave ,Bereavement Leave,Leave without pay,Weekly Off,Holidays Off,Menstrual Leave
Employee Code ,Name,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,TPD,P,WFH,PL,SL,BL ,FFL,BRL ,LWP,WO,HO,ML
Atq -406,Thanos Thakur,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,21,21,0,0,0,0,0,0,0,9,0,0
Atq -462,Jarvis Singh,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,21,21,0,0,0,0,0,0,0,9,0,0
Atq -411,Nevaeh Waller,P,WO,WO,WFH,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,21,20,1,0,0,0,0,0,0,9,0,0
Atq -398,Bo Cordova,P,WO,WO,P,P,P,WFH,PL,WO,WO,PL,PL,PL,PL,PL,WO,WO,P,P,P,P,P,WO,WO,P,P,WFH,ML,WFH,WO,,15,12,3,6,0,0,0,0,0,9,0,1
Atq -438,Mekhi Singleton,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,21,21,0,0,0,0,0,0,0,9,0,0
Atq -366,Peter Pandey,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,PL,P,P,P,P,WO,,20,20,0,1,0,0,0,0,0,9,0,0
Atq -441,Loki Lal,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,21,21,0,0,0,0,0,0,0,9,0,0
Atq -436,Phoenix Brady,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,PL,WO,WO,PL,PL,P,P,P,WO,WO,P,P,P,P,P,WO,,18,18,0,3,0,0,0,0,0,9,0,0
Atq -404,Ana Little,P,WO,WO,P,HPL,PL,SL,P,WO,WO,P,P,PL,PL,PL,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,15.5,15.5,0,4.5,1,0,0,0,0,9,0,0
Atq -397,Grace Stone,P,WO,WO,P,P,P,P,P,WO,WO,P,P,ML,PL,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,WFH,WO,,20,19,1,1,0,0,0,0,0,9,0,1
Atq -335,Tori Shannon,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,21,21,0,0,0,0,0,0,0,9,0,0
Atq -443,Lyric Bartlett,WFH,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,21,20,1,0,0,0,0,0,0,9,0,0
Atq -419,Kaylah Schultz,P,WO,WO,P,P,P,PL,P,WO,WO,P,P,WFH,P,P,WO,WO,P,P,P,WFH,P,WO,WO,P,P,P,P,P,WO,,20,18,2,1,0,0,0,0,0,9,0,0
Atq -467,Cason David,P,WO,WO,HSL,P,P,P,P,WO,WO,P,P,WFH,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,20.5,19.5,1,0,0.5,0,0,0,0,9,0,0
Atq -450,Miya Hampton,P,WO,WO,P,P,P,HWFH,P,WO,WO,P,P,P,HML,P,WO,WO,P,PL,P,P,P,WO,WO,P,P,P,P,P,WO,,20,19.5,0.5,1,0,0,0,0,0,9,0,0.5
Atq -405,Sofia Solis,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,HPL,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,,20.5,20.5,0,0.5,0,0,0,0,0,9,0,0
Atq -440,Mckayla Parker,P,WO,WO,P,P,P,SL,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,SL,P,WO,,19,19,0,0,2,0,0,0,0,9,0,0
