AtliQ,,1 - Jun,2 - Jun,3 - Jun,4 - Jun,5 - Jun,6 - Jun,7 - Jun,8 - Jun,9 - Jun,10 - Jun,11 - Jun,12 - Jun,13 - Jun,14 - Jun,15 - Jun,16 - Jun,17 - Jun,18 - Jun,19 - Jun,20 - Jun,21 - Jun,22 - Jun,23 - Jun,24 - Jun,25 - Jun,26 - Jun,27 - Jun,28 - Jun,29 - Jun,30 - Jun,1 - Jun,Total Present Days,Present,Work from home ,Paid Leave ,Sick Leave ,Birthday Leave ,Floting festival leave ,Bereavement Leave,Leave without pay,Weekly Off,Holidays Off,Menstrual Leave
Employee Code,Name,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Wed,TPD,P,WFH,PL,SL,BL ,FFL,BRL ,LWP,WO,HO,ML
Atq -406,Thanos Thakur,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,13,13,0,0,0,0,0,0,0,8,0,0
Atq -462,Jarvis Singh,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,13,13,0,0,0,0,0,0,0,8,0,0
Atq -411,Nevaeh Waller,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,13,13,0,0,0,0,0,0,0,8,0,0
Atq -398,Bo Cordova,SL,P,P,WO,WO,P,P,P,P,P,WO,WO,WFH,WFH,WFH,WFH,WFH,WO,WO,WFH,WFH,WFH,WFH,WFH,WO,WO,WFH,WFH,,,,19,7,12,0,1,0,0,0,0,8,0,0
Atq -438,Mekhi Singleton,P,P,P,WO,WO,P,P,P,P,PL,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,12,12,0,1,0,0,0,0,0,8,0,0
Atq -366,Peter Pandey,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,13,13,0,0,0,0,0,0,0,8,0,0
Atq -441,Loki Lal,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,13,13,0,0,0,0,0,0,0,8,0,0
Atq -436,Phoenix Brady,P,P,P,WO,WO,P,P,P,PL,PL,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,11,11,0,2,0,0,0,0,0,8,0,0
Atq -404,Ana Little,PL,P,P,WO,WO,P,P,P,P,P,WO,WO,P,PL,HPL,PL,,WO,WO,,,,,,WO,WO,,,,,,8.5,8.5,0,3.5,0,0,0,0,0,8,0,0
Atq -397,Grace Stone,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,13,13,0,0,0,0,0,0,0,8,0,0
Atq -335,Tori Shannon,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,PL,WO,WO,,,,,,WO,WO,,,,,,12,12,0,1,0,0,0,0,0,8,0,0
Atq -443,Lyric Bartlett,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,13,13,0,0,0,0,0,0,0,8,0,0
Atq -419,Kaylah Schultz,P,P,P,WO,WO,P,P,P,P,P,WO,WO,WFH,WFH,WFH,WFH,WFH,WO,WO,,,,,,WO,WO,,,,,,13,8,5,0,0,0,0,0,0,8,0,0
Atq -467,Cason David,P,P,PL,WO,WO,P,P,P,P,P,WO,WO,P,P,P,SL,P,WO,WO,,,,,,WO,WO,,,,,,11,11,0,1,1,0,0,0,0,8,0,0
Atq -450,Miya Hampton,P,P,P,WO,WO,BRL ,P,BRL ,BRL ,BRL ,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,9,9,0,0,0,0,0,4,0,8,0,0
Atq -405,Sofia Solis,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,HPL,WO,WO,,,,,,WO,WO,,,,,,12.5,12.5,0,0.5,0,0,0,0,0,8,0,0
Atq -440,Mckayla Parker,P,P,P,WO,WO,P,P,P,P,P,WO,WO,SL,P,P,P,P,WO,WO,,,,,,WO,WO,PL,,,,,12,12,0,1,1,0,0,0,0,8,0,0
Atq -335,Madelynn Gray,P,WFH,ML,WO,WO,P,P,,,,WO,WO,,,,,,WO,WO,,,,,,WO,WO,,,,,,5,4,1,0,0,0,0,0,0,8,0,1
Atq -343,Myla Klein,P,P,WFH,WO,WO,P,P,P,P,P,WO,WO,WFH,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,13,11,2,0,0,0,0,0,0,8,0,0
Atq -334,Boston Morse,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,13,13,0,0,0,0,0,0,0,8,0,0
Atq -446,April Ayers,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,13,13,0,0,0,0,0,0,0,8,0,0
Atq -419,Faith Hamilton,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,ML,P,WO,WO,,,,,,WO,WO,,,,,,13,13,0,0,0,0,0,0,0,8,0,1
Atq -396,Joel Cruz,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,PL,,PL,,,WO,WO,,,,,,13,13,0,2,0,0,0,0,0,8,0,0
Atq -459,Iris Woodard,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,13,13,0,0,0,0,0,0,0,8,0,0
Atq -349,Trystan Ortega,P,LWP,LWP,WO,WO,P,P,LWP,LWP,LWP,WO,WO,P,P,HLWP,,,WO,WO,,,,,,WO,WO,,,,,,5.5,5.5,0,0,0,0,0,0,5.5,8,0,0
Atq -438,Miles Fields,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,,,,,WO,WO,,,,,,13,13,0,0,0,0,0,0,0,8,0,0
Atq -423,Rodrigo Price,P,P,P,WO,WO,P,P,WFH,PL,PL,WO,WO,PL,P,P,P,SL,WO,WO,,,,,,WO,WO,,,,,,9,8,1,3,1,0,0,0,0,8,0,0
Atq -370,Ella Roth,P,HPL,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,,PL,,,,WO,WO,,,,,,12.5,12.5,0,1.5,0,0,0,0,0,8,0,0
