AtliQ,,2 - May,3 - May,4 - May,5 - May,6 - May,7 - May,8 - May,9 - May,10 - May,11 - May,12 - May,13 - May,14 - May,15 - May,16 - May,17 - May,18 - May,19 - May,20 - May,21 - May,22 - May,23 - May,24 - May,25 - May,26 - May,27 - May,28 - May,29 - May,30 - May,31 - May,1 - Jun,Total Present Days,Present,Work from home ,Paid Leave ,Sick Leave ,Birthday Leave ,Floting festival leave ,Bereavement Leave,Leave without pay,Weekly Off,Holidays Off,Menstrual Leave
Employee Code ,Name,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,TPD,P,WFH,PL,SL,BL ,FFL,BRL ,LWP,WO,HO,ML
Atq -406,Thanos Thakur,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,,22,22,0,0,0,0,0,0,0,8,0,0
Atq -462,Jarvis Singh,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,,22,22,0,0,0,0,0,0,0,8,0,0
Atq -411,Nevaeh Waller,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,,22,22,0,0,0,0,0,0,0,8,0,0
Atq -398,Bo Cordova,P,P,P,P,P,WO,WO,P,P,P,WFH,PL,WO,WO,P,P,P,P,P,WO,WO,P,P,WFH,P,P,WO,WO,WFH,P,,21,18,3,1,0,0,0,0,0,8,0,0
Atq -438,Mekhi Singleton,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,PL,P,WO,WO,P,P,P,P,P,WO,WO,P,P,,21,21,0,1,0,0,0,0,0,8,0,0
Atq -366,Peter Pandey,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,HPL,P,,21.5,21.5,0,0.5,0,0,0,0,0,8,0,0
Atq -441,Loki Lal,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,WFH,P,P,P,P,WO,WO,P,P,,22,21,1,0,0,0,0,0,0,8,0,0
Atq -436,Phoenix Brady,P,HPL,P,P,HPL,WO,WO,HPL,P,P,P,P,WO,WO,HSL,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,,20,20,0,1.5,0.5,0,0,0,0,8,0,0
Atq -404,Ana Little,P,P,PL,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,PL,WO,WO,P,PL,,19,19,0,3,0,0,0,0,0,8,0,0
Atq -397,Grace Stone,P,FFL,PL,P,WFH,WO,WO,P,P,P,HPL,PL,WO,WO,P,P,P,P,P,WO,WO,P,P,P,P,WFH,WO,WO,P,P,,18.5,16.5,2,2.5,0,0,1,0,0,8,0,0
